donor_id,first_name,last_name,gender,age,blood_group,district,phone,weight,hemoglobin,days_since_last_donation,eligible_to_donate,availability
D0001,Amal,Perera,Female,24,B-,Kandy,783197857,62.0,10.7,71,No,Unavailable
D0002,Saman,Peris,Female,31,A+,Colombo,741227216,56.9,12.0,47,No,Unavailable
D0003,Hiruni,Peris,Male,46,B-,Anuradhapura,789089901,80.8,15.4,214,Yes,Available
D0004,Tharushi,Perera,Male,31,O+,Matara,755176955,80.5,16.1,142,Yes,Available
D0005,Amal,Silva,Female,20,A-,Matara,771662963,56.1,12.2,176,No,Unavailable
D0006,Malsha,Silva,Female,54,A-,Anuradhapura,735808537,56.1,13.6,150,Yes,Unavailable
D0007,Saman,Perera,Male,42,AB+,Gampaha,747308985,75.2,13.1,119,Yes,Available
D0008,Chathura,Wijesinghe,Male,59,AB-,Matara,719583482,75.1,12.5,107,No,Unavailable
D0009,Dinithi,Fernando,Male,58,B+,Negombo,784752529,75.2,11.7,194,No,Unavailable
D0010,Nadeesha,Wijesinghe,Male,35,B-,Colombo,718883684,108.5,16.3,161,Yes,Unavailable
D0011,Anjali,Peris,Female,27,B-,Negombo,745551614,54.3,13.7,202,Yes,Unavailable
D0012,Kamal,Jayasinghe,Female,32,O+,Jaffna,728566572,54.3,11.3,204,No,Unavailable
D0013,Hiruni,Gunasekara,Male,58,A+,Gampaha,731472420,79.5,14.6,78,No,Unavailable
D0014,Sanduni,Peris,Male,51,O+,Kurunegala,743744231,76.5,12.6,305,No,Unavailable
D0015,Malsha,Perera,Male,36,AB+,Matara,768353204,66.8,17.5,57,No,Unavailable
D0016,Sithumini,Gunasekara,Male,58,AB+,Anuradhapura,750056581,77.6,14.4,91,Yes,Available
D0017,Hiruni,Peris,Male,52,B+,Matara,781182864,62.3,14.4,82,No,Unavailable
D0018,Kasun,Peris,Female,41,O-,Colombo,751273847,60.5,13.0,57,No,Unavailable
D0019,Nadeesha,Perera,Male,52,A-,Gampaha,726879290,65.1,14.9,248,Yes,Available
D0020,Kamal,Gunasekara,Male,31,AB+,Anuradhapura,782383095,70.8,14.5,310,Yes,Unavailable
D0021,Anjali,Bandara,Female,25,AB-,Negombo,743273328,69.7,15.5,264,Yes,Unavailable
D0022,Nadeesha,Silva,Female,55,A+,Jaffna,739557077,56.2,15.1,283,Yes,Available
D0023,Kasun,Silva,Male,39,B-,Gampaha,719510312,76.9,16.8,16,No,Unavailable
D0024,Hiruni,Jayasinghe,Female,54,O-,Kandy,787337818,46.6,14.1,276,No,Available
D0025,Nipun,Jayasinghe,Female,24,O+,Kandy,798447167,53.6,13.6,48,No,Unavailable
D0026,Sanduni,Wijesinghe,Female,59,O+,Negombo,796728778,58.9,14.6,27,No,Unavailable
D0027,Amal,Perera,Female,30,AB-,Gampaha,781979055,48.8,11.5,127,No,Available
D0028,Chathura,Fernando,Female,22,B+,Galle,769476001,61.0,13.7,236,Yes,Available
D0029,Malsha,Silva,Male,44,A+,Gampaha,775181648,62.8,14.3,121,Yes,Available
D0030,Nipun,Jayasinghe,Female,42,A+,Kalutara,745594951,55.7,10.5,194,No,Available
D0031,Chathura,Bandara,Female,31,O-,Kalutara,717849494,53.2,11.3,97,No,Unavailable
D0032,Supun,De Silva,Male,55,AB-,Colombo,773993471,72.2,16.3,25,No,Unavailable
D0033,Hiruni,De Silva,Male,29,A+,Anuradhapura,719196777,70.5,14.0,41,No,Unavailable
D0034,Dinithi,Silva,Male,55,O+,Gampaha,789795010,63.5,13.6,291,Yes,Available
D0035,Nimal,Peris,Male,34,O+,Jaffna,737415205,91.4,12.8,289,No,Unavailable
D0036,Ayesha,Jayasinghe,Female,47,O+,Kalutara,752436584,48.2,12.9,343,No,Unavailable
D0037,Saman,Perera,Female,50,A-,Gampaha,745594597,59.7,14.9,275,Yes,Available
D0038,Kamal,Wijesinghe,Male,46,B-,Matara,782909480,71.9,14.3,145,Yes,Available
D0039,Dilshan,Peris,Male,34,AB+,Gampaha,725492573,63.4,12.4,68,No,Unavailable
D0040,Amal,De Silva,Male,39,AB+,Galle,737326368,78.5,12.4,309,No,Available
D0041,Tharushi,De Silva,Female,58,AB+,Colombo,766851377,63.9,13.3,47,No,Unavailable
D0042,Tharushi,Perera,Male,28,AB-,Kalutara,769302158,68.9,16.5,326,Yes,Unavailable
D0043,Malsha,Ranasinghe,Male,52,A-,Gampaha,714835614,75.0,13.8,353,Yes,Available
D0044,Ruwan,Peris,Male,37,O+,Kalutara,758942697,78.7,12.1,21,No,Unavailable
D0045,Nimal,Wijesinghe,Male,57,B-,Gampaha,730743797,58.0,13.9,181,Yes,Unavailable
D0046,Nadeesha,Fernando,Male,44,O+,Colombo,799913412,66.7,13.8,91,Yes,Unavailable
D0047,Nadeesha,Bandara,Male,48,A-,Kurunegala,739854548,65.3,10.4,19,No,Unavailable
D0048,Anjali,Gunasekara,Female,60,AB+,Kandy,735921441,66.5,11.6,114,No,Available
D0049,Ishara,Wijesinghe,Female,52,A-,Galle,754446182,60.7,12.1,179,No,Unavailable
D0050,Kasun,Silva,Female,24,B+,Jaffna,790070438,43.9,11.4,135,No,Available
D0051,Sanduni,Wijesinghe,Female,42,O+,Jaffna,787388337,60.6,12.7,261,Yes,Available
D0052,Anjali,Bandara,Male,41,O+,Colombo,767887757,79.2,15.8,266,Yes,Available
D0053,Saman,Wijesinghe,Female,60,A-,Galle,764813568,52.6,11.5,259,No,Unavailable
D0054,Ayesha,Ranasinghe,Female,29,B+,Kandy,792613013,62.9,13.5,215,Yes,Unavailable
D0055,Supun,Bandara,Female,45,A+,Galle,787844239,66.2,12.1,146,No,Available
D0056,Dinithi,Wijesinghe,Female,50,O-,Negombo,773509974,65.5,11.8,345,No,Available
D0057,Sithumini,Silva,Female,32,AB-,Gampaha,736726767,51.3,12.7,120,Yes,Unavailable
D0058,Kamal,Perera,Male,47,B-,Negombo,765625330,62.9,14.2,312,Yes,Available
D0059,Supun,Jayasinghe,Female,59,O-,Kurunegala,710744212,60.7,12.1,124,No,Available
D0060,Amal,Ranasinghe,Male,53,B+,Anuradhapura,743446826,77.7,14.0,237,Yes,Available
D0061,Amal,Gunasekara,Male,46,O-,Anuradhapura,792228802,60.7,13.4,286,Yes,Unavailable
D0062,Hiruni,Ranasinghe,Female,33,B+,Negombo,795585469,56.5,12.8,230,Yes,Unavailable
D0063,Tharushi,De Silva,Female,36,B-,Galle,741473195,49.1,11.9,225,No,Available
D0064,Tharushi,Wijesinghe,Female,32,A-,Kalutara,761410126,48.4,13.1,77,No,Unavailable
D0065,Kamal,Jayasinghe,Male,44,O+,Kurunegala,718357162,67.5,13.2,169,Yes,Unavailable
D0066,Anjali,Ranasinghe,Female,18,A+,Jaffna,757212267,68.8,12.5,194,Yes,Unavailable
D0067,Dilshan,Ranasinghe,Female,45,B-,Negombo,775181765,57.4,13.6,112,Yes,Unavailable
D0068,Kasun,Ranasinghe,Female,57,O+,Kalutara,781688860,66.0,13.8,239,Yes,Available
D0069,Kasun,Ranasinghe,Male,47,A-,Kurunegala,734391257,65.6,10.5,69,No,Unavailable
D0070,Nimal,Bandara,Female,39,AB-,Kandy,760885459,52.8,12.1,232,No,Unavailable
D0071,Tharushi,Ranasinghe,Female,52,A-,Negombo,716990811,60.9,12.4,9,No,Unavailable
D0072,Ruwan,Jayasinghe,Male,19,A+,Colombo,793394260,55.6,11.3,126,No,Available
D0073,Kamal,Jayasinghe,Male,47,O-,Gampaha,744392446,81.6,13.7,288,Yes,Available
D0074,Ruwan,Fernando,Male,55,B+,Galle,713446499,70.1,13.7,55,No,Unavailable
D0075,Dilshan,Peris,Female,55,O+,Kandy,794187049,40.0,14.9,38,No,Unavailable
D0076,Nadeesha,Silva,Female,40,A-,Jaffna,781503856,64.6,12.5,21,No,Unavailable
D0077,Sanduni,Wijesinghe,Male,24,AB-,Colombo,768186525,72.0,12.6,215,No,Unavailable
D0078,Ruwan,Gunasekara,Male,57,O+,Kalutara,782232344,64.0,16.7,267,Yes,Unavailable
D0079,Nipun,Gunasekara,Female,35,AB+,Matara,770505620,58.7,16.8,125,Yes,Available
D0080,Nadeesha,Gunasekara,Female,29,AB-,Colombo,775437844,42.1,14.3,253,No,Unavailable
D0081,Anjali,Wijesinghe,Female,53,AB-,Galle,711362459,56.2,12.6,305,Yes,Unavailable
D0082,Hiruni,Jayasinghe,Male,48,B-,Kurunegala,796691619,76.6,12.6,250,No,Available
D0083,Nipun,Gunasekara,Male,33,A-,Galle,751098277,85.9,13.5,113,Yes,Unavailable
D0084,Supun,Wijesinghe,Female,40,AB-,Kurunegala,770900658,53.9,13.1,281,Yes,Unavailable
D0085,Tharushi,Bandara,Female,25,B-,Gampaha,781922443,51.5,11.8,98,No,Unavailable
D0086,Sithumini,Jayasinghe,Male,24,O-,Galle,736054020,50.5,15.2,301,Yes,Unavailable
D0087,Dilshan,Jayasinghe,Female,52,B+,Galle,726989677,65.3,12.0,7,No,Unavailable
